"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","896","Login success","Automation Exercise","2026-08-16","passed","2026-08-16","chromium","login.spec.ts","",""
"","631","Do not input user, password","Automation Exercise","2026-08-16","passed","2026-08-16","chromium","login.spec.ts","",""
